fragmanetAndSide,fragment,class,fragmentVote,fragmentAndSideVote,fragmentAndSideTrendVote,fragmentAndSideTrendVoteStrict,fragmentAndSideTrendVoteSync,fragmentAndSideTrend,fragmentAndSideCubes,origCoordinates
PX303Fg006_4X3_2X0_1_PX303Fg006_4X3_3X0_3,PX303Fg006_4X3_2X0_PX303Fg006_4X3_3X0,1,204,15,13,28,14,"[[False, 4, 0], [False, 4, 0], [False, 4, 0], [False, 4, 0], [False, 4, 0], [False, 4, 0], [False, 4, 0], [False, 4, 0], [False, 4, 0], [False, 4, 0], [False, 4, 0], [False, 4, 0], [False, 4, 0], [False, 4, 0], [False, 4, 5]]","[[250, 1068, 750, 50], [250, 1068, 750, 50], [250, 1068, 750, 1419], [290, 1068, 790, 50], [290, 1068, 790, 50], [330, 1068, 830, 50], [330, 1068, 830, 50], [370, 1068, 870, 50], [370, 1068, 870, 50], [380, 1068, 880, 50], [380, 1068, 880, 50], [420, 1068, 920, 50], [420, 1068, 920, 50], [460, 1068, 960, 50], [460, 1068, 960, 50]]",[]
PX303Fg006_5X3_1X0_1_PX303Fg006_5X3_3X0_1,PX303Fg006_5X3_1X0_PX303Fg006_5X3_3X0,0,49,2,1,2,1,"[[False, 4, 0], [False, 4, 0]]","[[250, 1148, 250, 50], [250, 1148, 250, 50]]",[]
PX303Fg006_4X4_0X1_2_PX303Fg006_4X4_2X0_3,PX303Fg006_4X4_0X1_PX303Fg006_4X4_2X0,0,40,2,1,2,1,"[[False, 4, 0], [False, 4, 0]]","[[500, 1233, 750, 50], [500, 1233, 750, 50]]",[]
PX303Fg006_5X4_2X1_1_PX303Fg006_5X4_3X2_2,PX303Fg006_5X4_2X1_PX303Fg006_5X4_3X2,0,10,1,0,0,0,"[[False, 4, 0]]","[[250, 1106, 500, 50]]",[]
PX303Fg006_5X4_2X0_3_PX303Fg006_5X4_3X3_1,PX303Fg006_5X4_2X0_PX303Fg006_5X4_3X3,0,27,5,3,6,3,"[[False, 0, 0], [False, 4, 0], [False, 4, 0], [False, 4, 4], [False, 4, 4]]","[[750, 50, 250, 50], [750, 1143, 250, 50], [750, 1143, 250, 50], [750, 1143, 250, 1066], [750, 1143, 250, 1066]]",[]
PX303Fg006_5X3_2X2_2_PX303Fg006_5X3_4X2_3,PX303Fg006_5X3_2X2_PX303Fg006_5X3_4X2,0,35,2,1,2,1,"[[False, 2, 2], [False, 2, 2]]","[[500, 638, 750, 586], [500, 638, 750, 586]]",[]
PX303Fg006_6X4_3X3_3_PX303Fg006_6X4_5X3_3,PX303Fg006_6X4_3X3_PX303Fg006_6X4_5X3,0,22,3,1,4,2,"[[False, 3, 0], [False, 3, 0], [False, 3, 3]]","[[750, 911, 750, 50], [750, 911, 750, 50], [750, 911, 750, 866]]",[]
PX303Fg006_5X4_2X0_1_PX303Fg006_5X4_3X0_3,PX303Fg006_5X4_2X0_PX303Fg006_5X4_3X0,1,129,1,0,0,0,"[[False, 4, 0]]","[[250, 1143, 750, 50]]",[]
PX303Fg006_6X4_0X1_0_PX303Fg006_6X4_5X0_1,PX303Fg006_6X4_0X1_PX303Fg006_6X4_5X0,0,27,4,3,6,3,"[[False, 0, 0], [False, 0, 0], [False, 2, 0], [False, 2, 0]]","[[0, 50, 250, 50], [0, 50, 250, 50], [0, 527, 250, 50], [0, 527, 250, 50]]",[]
PX303Fg006_5X4_2X0_2_PX303Fg006_5X4_4X1_1,PX303Fg006_5X4_2X0_PX303Fg006_5X4_4X1,0,56,5,3,6,3,"[[False, 0, 0], [False, 4, 0], [False, 4, 0], [False, 4, 3], [False, 4, 3]]","[[500, 50, 250, 50], [500, 1143, 250, 50], [500, 1143, 250, 50], [500, 1143, 250, 866], [500, 1143, 250, 866]]",[]
PX303Fg006_5X3_0X2_2_PX303Fg006_5X3_2X0_3,PX303Fg006_5X3_0X2_PX303Fg006_5X3_2X0,0,70,2,1,2,1,"[[False, 2, 0], [False, 2, 0]]","[[500, 656, 750, 50], [500, 656, 750, 50]]",[]
PX303Fg006_5X4_0X3_3_PX303Fg006_5X4_2X0_1,PX303Fg006_5X4_0X3_PX303Fg006_5X4_2X0,0,22,2,2,0,0,"[[False, 0, 0], [False, 0, 0]]","[[750, 50, 250, 50], [750, 50, 250, 50]]",[]
PX303Fg006_5X4_1X2_1_PX303Fg006_5X4_2X2_3,PX303Fg006_5X4_1X2_PX303Fg006_5X4_2X2,1,35,1,0,0,0,"[[False, 5, 0]]","[[250, 1352, 750, 50]]",[]
PX303Fg006_6X3_1X1_2_PX303Fg006_6X3_2X1_2,PX303Fg006_6X3_1X1_PX303Fg006_6X3_2X1,1,18,1,0,0,0,"[[False, 2, 0]]","[[500, 617, 500, 50]]",[]
PX303Fg006_6X3_4X0_3_PX303Fg006_6X3_5X0_0,PX303Fg006_6X3_4X0_PX303Fg006_6X3_5X0,1,126,14,12,26,13,"[[False, 3, 0], [False, 3, 0], [False, 3, 0], [False, 3, 0], [False, 3, 0], [False, 3, 0], [False, 3, 0], [False, 3, 0], [False, 3, 0], [False, 3, 0], [False, 3, 0], [False, 3, 0], [False, 3, 2], [False, 3, 2]]","[[750, 783, 0, 50], [750, 783, 0, 50], [750, 783, 0, 708], [750, 783, 0, 708], [790, 783, 40, 50], [790, 783, 40, 50], [830, 783, 80, 50], [830, 783, 80, 50], [870, 783, 120, 50], [880, 783, 130, 50], [880, 783, 130, 50], [920, 783, 170, 50], [960, 783, 210, 50], [960, 783, 210, 50]]",[]
PX303Fg006_5X3_0X2_1_PX303Fg006_5X3_3X0_0,PX303Fg006_5X3_0X2_PX303Fg006_5X3_3X0,0,83,4,3,6,3,"[[False, 0, 0], [False, 0, 0], [False, 2, 0], [False, 2, 0]]","[[250, 50, 0, 50], [250, 50, 0, 50], [250, 656, 0, 50], [250, 656, 0, 50]]",[]
PX303Fg006_5X3_2X0_2_PX303Fg006_5X3_3X2_1,PX303Fg006_5X3_2X0_PX303Fg006_5X3_3X2,0,39,2,1,2,1,"[[False, 3, 0], [False, 3, 0]]","[[500, 957, 250, 50], [500, 957, 250, 50]]",[]
PX303Fg006_6X4_3X1_1_PX303Fg006_6X4_4X2_0,PX303Fg006_6X4_3X1_PX303Fg006_6X4_4X2,0,30,2,1,2,1,"[[False, 2, 0], [False, 2, 0]]","[[250, 721, 0, 50], [250, 721, 0, 50]]",[]
PX303Fg006_6X4_0X3_0_PX303Fg006_6X4_5X3_3,PX303Fg006_6X4_0X3_PX303Fg006_6X4_5X3,0,21,2,1,2,1,"[[False, 2, 0], [False, 2, 0]]","[[0, 637, 750, 50], [0, 637, 750, 50]]",[]
PX303Fg006_5X4_1X2_3_PX303Fg006_5X4_3X1_2,PX303Fg006_5X4_1X2_PX303Fg006_5X4_3X1,0,31,2,0,2,1,"[[False, 5, 0], [False, 5, 3]]","[[750, 1352, 500, 50], [750, 1352, 500, 937]]",[]
PX303Fg006_6X3_3X2_3_PX303Fg006_6X3_4X2_2,PX303Fg006_6X3_3X2_PX303Fg006_6X3_4X2,1,81,2,2,0,0,"[[False, 1, 0], [False, 1, 0]]","[[750, 449, 500, 50], [750, 449, 500, 50]]",[]
