fragmentAndSide,fragment,fragmentTotal,fragmentVote,devideVoteByTotal,fragmentAndSideTotal,fragmentAndSideVote,devideSideVoteBySideTotal,fragmentAndSideTrendVote,devideSideTrendVoteBySideTotal,fragmentAndSideTrendVoteStrict,devideSideTrendVoteStrictBySideTotal,fragmentAndSideTrendVoteSync,devideSideTrendVoteSyncBySideTotal,firstFileName,firstCroppedWidth,firstOffsetX,firstOffsetY,firstHorizontalFlip,secondFileName,secondCroppedWidth,secondOffsetX,secondOffsetY,secondHorizontalFlip,origCoordinates,class,votesOverlapMax,divideOverlapMaxBySideTotal,votesOverlapHeight,votesSupportOverlapRect,divideSupportOverlapBySideTotal,divideSupportOverlapBySideVote,prediction,frontImageCombined,backImageCombined
P593Fg015_0_P593Fg016_1,P593Fg015_P593Fg016,1216,545,0.448190789,304,105,0.345394737,105,0.345394737,1,0.003289474,0,0,P593Fg015,1184,2802,1572,1,P593Fg016,1044,2842,1766,1,[],0,19,0.0625,100,25,0.082236842,0.238095238,1,ux593_20190105/R=P593Fg015_0_P593Fg016_1.jpg,ux593_20190105/V=P593Fg015_0_P593Fg016_1.jpg
P593Fg003_0_P593Fg015_0,P593Fg003_P593Fg015,1748,324,0.185354691,399,114,0.285714286,114,0.285714286,1,0.002506266,0,0,P593Fg003,1542,2531,1629,1,P593Fg015,1184,2802,1572,1,[],0,19,0.047619048,100,25,0.062656642,0.219298246,1,ux593_20190105/R=P593Fg003_0_P593Fg015_0.jpg,ux593_20190105/V=P593Fg003_0_P593Fg015_0.jpg
P593Fg011_1_P593Fg018_1,P593Fg011_P593Fg018,416,245,0.588942308,104,75,0.721153846,75,0.721153846,1,0.009615385,0,0,P593Fg011,1364,2824,1898,1,P593Fg018,979,3152,1684,1,[],0,19,0.182692308,250,19,0.182692308,0.253333333,1,ux593_20190105/R=P593Fg011_1_P593Fg018_1.jpg,ux593_20190105/V=P593Fg011_1_P593Fg018_1.jpg
P593Fg013_0_P593Fg014_0,P593Fg013_P593Fg014,512,237,0.462890625,128,64,0.5,64,0.5,2,0.015625,3,0.0234375,P593Fg013,1270,3200,1525,1,P593Fg014,921,2906,1726,1,[],0,19,0.1484375,50,19,0.1484375,0.296875,1,ux593_20190105/R=P593Fg013_0_P593Fg014_0.jpg,ux593_20190105/V=P593Fg013_0_P593Fg014_0.jpg
P593Fg014_0_P593Fg015_0,P593Fg014_P593Fg015,608,78,0.128289474,152,56,0.368421053,56,0.368421053,1,0.006578947,0,0,P593Fg014,921,2906,1726,1,P593Fg015,1184,2802,1572,1,[],0,19,0.125,50,19,0.125,0.339285714,1,ux593_20190105/R=P593Fg014_0_P593Fg015_0.jpg,ux593_20190105/V=P593Fg014_0_P593Fg015_0.jpg
P593Fg011_1_P593Fg015_0,P593Fg011_P593Fg015,608,263,0.432565789,152,95,0.625,95,0.625,1,0.006578947,0,0,P593Fg011,1364,2824,1898,1,P593Fg015,1184,2802,1572,1,[],0,19,0.125,50,19,0.125,0.2,1,ux593_20190105/R=P593Fg011_1_P593Fg015_0.jpg,ux593_20190105/V=P593Fg011_1_P593Fg015_0.jpg
P593Fg011_0_P593Fg015_0,P593Fg011_P593Fg015,608,263,0.432565789,152,104,0.684210526,104,0.684210526,1,0.006578947,0,0,P593Fg011,1364,2824,1898,1,P593Fg015,1184,2802,1572,1,[],0,19,0.125,50,19,0.125,0.182692308,1,ux593_20190105/R=P593Fg011_0_P593Fg015_0.jpg,ux593_20190105/V=P593Fg011_0_P593Fg015_0.jpg
P593Fg016_0_P593Fg017_1,P593Fg016_P593Fg017,832,390,0.46875,208,94,0.451923077,94,0.451923077,1,0.004807692,0,0,P593Fg016,1044,2842,1766,1,P593Fg017,912,3079,1875,1,[],0,19,0.091346154,250,19,0.091346154,0.20212766,1,ux593_20190105/R=P593Fg016_0_P593Fg017_1.jpg,ux593_20190105/V=P593Fg016_0_P593Fg017_1.jpg
P593Fg016_1_P593Fg018_0,P593Fg016_P593Fg018,832,404,0.485576923,208,84,0.403846154,84,0.403846154,1,0.004807692,0,0,P593Fg016,1044,2842,1766,1,P593Fg018,979,3152,1684,1,[],0,19,0.091346154,50,19,0.091346154,0.226190476,1,ux593_20190105/R=P593Fg016_1_P593Fg018_0.jpg,ux593_20190105/V=P593Fg016_1_P593Fg018_0.jpg
P593Fg003_0_P593Fg017_0,P593Fg003_P593Fg017,1170,224,0.191452991,260,83,0.319230769,83,0.319230769,3,0.011538462,2,0.007692308,P593Fg003,1542,2531,1629,1,P593Fg017,912,3079,1875,1,[],0,19,0.073076923,50,19,0.073076923,0.228915663,1,ux593_20190105/R=P593Fg003_0_P593Fg017_0.jpg,ux593_20190105/V=P593Fg003_0_P593Fg017_0.jpg
