fragmanetAndSide,fragment,fragmentVote,fragmentAndSideVote,fragmentAndSideTrendVote,fragmentAndSideTrendVoteStrict,fragmentAndSideTrendVoteSync,fragmentAndSideTrend,fragmentAndSideCubes,origCoordinates,class
PX303Fg006_7X4_2X1_0_PX303Fg006_7X4_4X0_0,PX303Fg006_7X4_2X1_PX303Fg006_7X4_4X0,12,2,2,2,1,"[[False, 1, 0], [False, 1, 1]]","[[50, 250, 50, 250], [50, 250, 50, 0]]",[],0
PX303Fg006_6X4_0X2_1_PX303Fg006_6X4_5X1_0,PX303Fg006_6X4_0X2_PX303Fg006_6X4_5X1,4,2,2,0,0,"[[False, 0, 0], [False, 0, 1]]","[[904, 0, 50, 250], [904, 0, 50, 0]]",[],0
PX303Fg006_7X2_5X1_1_PX303Fg006_7X2_6X0_1,PX303Fg006_7X2_5X1_PX303Fg006_7X2_6X0,4,2,2,0,0,"[[False, 1, 0], [False, 1, 1]]","[[1697, 250, 561, 0], [1697, 250, 561, 250]]",[],0
PX303Fg006_4X2_0X0_0_PX303Fg006_4X2_2X0_0,PX303Fg006_4X2_0X0_PX303Fg006_4X2_2X0,6,2,2,2,1,"[[False, 1, 0], [False, 1, 1]]","[[50, 250, 50, 250], [50, 250, 50, 0]]",[],0
PX303Fg006_3X3_0X2_0_PX303Fg006_3X3_2X0_0,PX303Fg006_3X3_0X2_PX303Fg006_3X3_2X0,12,2,2,2,1,"[[False, 0, 0], [False, 1, 0]]","[[50, 250, 50, 0], [50, 0, 50, 0]]",[],0
PX303Fg006_8X4_0X1_1_PX303Fg006_8X4_2X3_1,PX303Fg006_8X4_0X1_PX303Fg006_8X4_2X3,12,2,2,0,0,"[[False, 0, 1], [False, 1, 1]]","[[395, 0, 1097, 250], [395, 250, 1097, 250]]",[],0
PX303Fg006_3X4_0X3_1_PX303Fg006_3X4_1X1_1,PX303Fg006_3X4_0X3_PX303Fg006_3X4_1X1,9,2,2,0,0,"[[False, 1, 0], [False, 1, 1]]","[[2125, 250, 1874, 0], [2125, 250, 1874, 250]]",[],0
PX303Fg006_9X4_7X1_1_PX303Fg006_9X4_8X0_1,PX303Fg006_9X4_7X1_PX303Fg006_9X4_8X0,8,2,2,0,0,"[[False, 0, 0], [False, 0, 1]]","[[524, 0, 407, 250], [524, 0, 407, 0]]",[],0
PX303Fg006_9X4_6X3_0_PX303Fg006_9X4_8X1_0,PX303Fg006_9X4_6X3_PX303Fg006_9X4_8X1,8,2,2,2,1,"[[False, 1, 0], [False, 1, 1]]","[[50, 250, 50, 0], [50, 250, 50, 250]]",[],0
PX303Fg006_7X4_3X3_1_PX303Fg006_7X4_5X3_1,PX303Fg006_7X4_3X3_PX303Fg006_7X4_5X3,12,2,2,2,1,"[[False, 0, 0], [False, 1, 0]]","[[321, 250, 1135, 0], [321, 0, 1135, 0]]",[],0
PX303Fg006_8X3_0X1_0_PX303Fg006_8X3_5X2_1,PX303Fg006_8X3_0X1_PX303Fg006_8X3_5X2,12,2,2,2,1,"[[False, 0, 0], [False, 0, 1]]","[[50, 0, 1167, 0], [50, 0, 1167, 250]]",[],0
PX303Fg006_5X4_0X0_0_PX303Fg006_5X4_1X0_1,PX303Fg006_5X4_0X0_PX303Fg006_5X4_1X0,38,2,2,2,1,"[[False, 1, 0], [False, 1, 1]]","[[50, 250, 1027, 250], [50, 250, 1027, 0]]",[],0
