fragmanetAndSide,fragment,fragmentVote,fragmentAndSideVote,fragmentAndSideTrendVote,fragmentAndSideTrendVoteStrict,fragmentAndSideTrendVoteSync,fragmentAndSideTrend,fragmentAndSideCubes,origCoordinates
PX303Fg006_5X3_0X1_2_PX303Fg006_5X3_2X2_4,PX303Fg006_5X3_0X1_PX303Fg006_5X3_2X2,15,2,1,0,0,"[[False, 0, 0], [False, 4, 0]]","[[500, 50, 1000, 50], [500, 1049, 1000, 50]]",[]
PX303Fg006_4X3_1X0_2_PX303Fg006_4X3_2X1_0,PX303Fg006_4X3_1X0_PX303Fg006_4X3_2X1,12,1,0,0,0,"[[False, 5, 0]]","[[500, 1319, 0, 50]]",[]
PX303Fg006_4X3_0X0_0_PX303Fg006_4X3_1X2_3,PX303Fg006_4X3_0X0_PX303Fg006_4X3_1X2,50,3,2,0,0,"[[False, 4, 0], [False, 4, 0], [False, 4, 0]]","[[130, 1211, 880, 50], [0, 1211, 750, 50], [120, 1211, 870, 50]]",[]
PX303Fg006_6X3_2X1_1_PX303Fg006_6X3_5X1_0,PX303Fg006_6X3_2X1_PX303Fg006_6X3_5X1,10,2,0,0,0,"[[False, 5, 0], [False, 5, 2]]","[[250, 1343, 0, 50], [250, 1343, 0, 646]]",[]
PX303Fg006_4X4_2X0_2_PX303Fg006_4X4_3X1_1,PX303Fg006_4X4_2X0_PX303Fg006_4X4_3X1,25,2,0,0,0,"[[False, 5, 0], [False, 5, 3]]","[[500, 1431, 250, 50], [500, 1431, 250, 975]]",[]
PX303Fg006_6X3_0X2_1_PX303Fg006_6X3_3X0_0,PX303Fg006_6X3_0X2_PX303Fg006_6X3_3X0,11,2,0,0,0,"[[False, 2, 0], [False, 2, 2]]","[[250, 650, 0, 50], [250, 650, 0, 601]]",[]
PX303Fg006_4X3_0X0_2_PX303Fg006_4X3_3X2_4,PX303Fg006_4X3_0X0_PX303Fg006_4X3_3X2,15,2,0,0,0,"[[False, 4, 0], [False, 4, 5]]","[[500, 1211, 1000, 1446], [500, 1211, 1000, 50]]",[]
PX303Fg006_4X4_0X2_3_PX303Fg006_4X4_3X1_0,PX303Fg006_4X4_0X2_PX303Fg006_4X4_3X1,10,2,0,0,0,"[[False, 0, 3], [False, 3, 3]]","[[750, 50, 0, 975], [750, 872, 0, 975]]",[]
PX303Fg006_4X3_0X1_0_PX303Fg006_4X3_3X0_5,PX303Fg006_4X3_0X1_PX303Fg006_4X3_3X0,39,1,0,0,0,"[[False, 3, 4]]","[[0, 978, 1250, 1237]]",[]
PX303Fg006_5X3_0X0_1_PX303Fg006_5X3_1X2_0,PX303Fg006_5X3_0X0_PX303Fg006_5X3_1X2,78,4,3,0,0,"[[False, 0, 0], [False, 3, 0], [False, 3, 0], [False, 3, 0]]","[[380, 936, 130, 50], [370, 936, 120, 50], [250, 50, 0, 50], [250, 936, 0, 50]]",[]
PX303Fg006_6X4_3X0_3_PX303Fg006_6X4_5X1_3,PX303Fg006_6X4_3X0_PX303Fg006_6X4_5X1,25,1,0,0,0,"[[False, 2, 2]]","[[750, 749, 750, 601]]",[]
PX303Fg006_6X4_1X1_2_PX303Fg006_6X4_4X3_0,PX303Fg006_6X4_1X1_PX303Fg006_6X4_4X3,7,1,0,0,0,"[[False, 5, 0]]","[[500, 1347, 0, 50]]",[]
PX303Fg006_6X4_3X1_2_PX303Fg006_6X4_4X1_3,PX303Fg006_6X4_3X1_PX303Fg006_6X4_4X1,33,1,0,0,0,"[[False, 4, 0]]","[[500, 1040, 750, 50]]",[]
PX303Fg006_6X4_2X1_1_PX303Fg006_6X4_4X1_2,PX303Fg006_6X4_2X1_PX303Fg006_6X4_4X1,11,2,0,0,0,"[[False, 2, 0], [False, 2, 3]]","[[250, 555, 500, 855], [250, 555, 500, 50]]",[]
PX303Fg006_4X3_1X2_0_PX303Fg006_4X3_3X1_2,PX303Fg006_4X3_1X2_PX303Fg006_4X3_3X1,15,3,1,0,0,"[[False, 0, 0], [False, 0, 4], [False, 6, 0]]","[[0, 50, 500, 50], [0, 50, 500, 1146], [0, 1559, 500, 50]]",[]
PX303Fg006_5X4_0X1_3_PX303Fg006_5X4_4X2_2,PX303Fg006_5X4_0X1_PX303Fg006_5X4_4X2,10,1,0,0,0,"[[False, 5, 0]]","[[750, 1283, 500, 50]]",[]
PX303Fg006_6X4_2X1_2_PX303Fg006_6X4_5X0_1,PX303Fg006_6X4_2X1_PX303Fg006_6X4_5X0,17,1,0,0,0,"[[False, 2, 0]]","[[500, 555, 250, 50]]",[]
PX303Fg006_6X4_3X1_3_PX303Fg006_6X4_4X3_0,PX303Fg006_6X4_3X1_PX303Fg006_6X4_4X3,35,1,0,0,0,"[[False, 4, 0]]","[[750, 1040, 0, 50]]",[]
PX303Fg006_6X4_3X0_3_PX303Fg006_6X4_5X0_2,PX303Fg006_6X4_3X0_PX303Fg006_6X4_5X0,31,2,0,0,0,"[[False, 2, 0], [False, 2, 2]]","[[750, 749, 500, 730], [750, 749, 500, 50]]",[]
PX303Fg006_6X4_1X0_3_PX303Fg006_6X4_5X1_1,PX303Fg006_6X4_1X0_PX303Fg006_6X4_5X1,9,2,0,0,0,"[[False, 4, 0], [False, 4, 2]]","[[750, 1093, 250, 50], [750, 1093, 250, 601]]",[]
PX303Fg006_4X3_0X0_2_PX303Fg006_4X3_3X1_0,PX303Fg006_4X3_0X0_PX303Fg006_4X3_3X1,46,4,1,0,0,"[[False, 0, 0], [False, 0, 4], [False, 4, 0], [False, 4, 4]]","[[500, 50, 0, 50], [500, 1211, 0, 50], [500, 50, 0, 1146], [500, 1211, 0, 1146]]",[]
PX303Fg006_6X4_0X0_1_PX303Fg006_6X4_4X0_2,PX303Fg006_6X4_0X0_PX303Fg006_6X4_4X0,27,2,1,0,0,"[[False, 0, 0], [False, 2, 0]]","[[250, 655, 500, 50], [250, 50, 500, 50]]",[]
PX303Fg006_4X3_0X1_0_PX303Fg006_4X3_1X0_5,PX303Fg006_4X3_0X1_PX303Fg006_4X3_1X0,53,2,1,0,0,"[[False, 0, 0], [False, 3, 0]]","[[0, 978, 1250, 50], [0, 50, 1250, 50]]",[]
PX303Fg006_6X4_3X1_1_PX303Fg006_6X4_5X2_1,PX303Fg006_6X4_3X1_PX303Fg006_6X4_5X2,18,2,0,0,0,"[[False, 4, 0], [False, 4, 2]]","[[250, 1040, 250, 626], [250, 1040, 250, 50]]",[]
PX303Fg006_6X3_1X2_2_PX303Fg006_6X3_5X2_2,PX303Fg006_6X3_1X2_PX303Fg006_6X3_5X2,8,1,0,0,0,"[[False, 2, 0]]","[[500, 641, 500, 205]]",[]
PX303Fg006_6X3_1X2_2_PX303Fg006_6X3_5X1_4,PX303Fg006_6X3_1X2_PX303Fg006_6X3_5X1,5,1,0,0,0,"[[False, 2, 2]]","[[500, 641, 1000, 646]]",[]
PX303Fg006_6X4_0X0_1_PX303Fg006_6X4_4X3_3,PX303Fg006_6X4_0X0_PX303Fg006_6X4_4X3,27,2,1,0,0,"[[False, 0, 0], [False, 2, 0]]","[[250, 655, 750, 50], [250, 50, 750, 50]]",[]
PX303Fg006_6X3_0X0_2_PX303Fg006_6X3_1X2_2,PX303Fg006_6X3_0X0_PX303Fg006_6X3_1X2,22,1,1,0,0,"[[False, 0, 0]]","[[500, 50, 500, 50]]",[]
