P593Fg001_1_P598Fg009_0,P593Fg001_P598Fg009,46,7,10,"[[True, 0, 7], [True, 1, 6], [True, 2, 7], [True, 3, 7], [True, 4, 6], [True, 5, 7], [True, 6, 7], [True, 10, 7]]"
P593Fg001_1_P598Fg010_0,P593Fg001_P598Fg010,28,8,10,"[[True, 0, 0], [True, 1, 0], [True, 1, 1], [True, 2, 0], [True, 3, 0], [True, 4, 1], [True, 5, 0], [True, 6, 0], [True, 10, 0]]"
P593Fg001_1_P598Fg013_0,P593Fg001_P598Fg013,34,7,10,"[[True, 0, 1], [True, 1, 0], [True, 2, 1], [True, 3, 1], [True, 4, 0], [True, 5, 1], [True, 6, 1], [True, 10, 1]]"
P593Fg001_0_P593Fg004_1,P593Fg001_P593Fg004,29,8,9,"[[True, 0, 1], [True, 0, 2], [True, 2, 1], [True, 2, 2], [True, 5, 1], [True, 5, 2], [True, 6, 1], [True, 6, 2], [True, 7, 1], [True, 7, 2]]"
P593Fg001_0_P593Fg015_1,P593Fg001_P593Fg015,47,13,9,"[[True, 0, 1], [True, 0, 3], [True, 2, 2], [True, 2, 3], [True, 5, 1], [True, 5, 2], [True, 5, 3], [True, 6, 2], [True, 7, 1], [True, 7, 2], [True, 7, 3], [True, 8, 1], [True, 8, 3], [True, 9, 1], [True, 9, 3]]"
P593Fg001_0_P596Fg035_1,P593Fg001_P596Fg035,15,6,9,"[[True, 2, 1], [True, 4, 0], [True, 5, 1], [True, 6, 1], [True, 7, 1], [True, 8, 0], [True, 9, 0], [True, 10, 1]]"
P593Fg001_0_P596Fg073_1,P593Fg001_P596Fg073,22,7,9,"[[True, 0, 0], [True, 1, 1], [True, 2, 1], [True, 6, 1], [True, 7, 1], [True, 8, 0], [True, 9, 0], [True, 10, 1]]"
P593Fg003_0_P596Fg001_1,P593Fg003_P596Fg001,20,10,9,"[[True, 0, 0], [True, 0, 1], [True, 0, 2], [True, 0, 3], [True, 2, 0], [True, 2, 1], [True, 2, 2], [True, 2, 3], [True, 4, 0], [True, 4, 1], [True, 4, 2], [True, 4, 3]]"
P589Fg006_1_P593Fg003_1,P589Fg006_P593Fg003,24,8,8,"[[False, 0, 1], [False, 0, 2], [False, 1, 3], [False, 1, 4], [False, 4, 0], [False, 4, 1], [False, 4, 2], [False, 7, 0], [False, 7, 1], [False, 7, 2]]"
P589Fg006_1_P597Fg001_0,P589Fg006_P597Fg001,14,7,8,"[[True, 0, 0], [True, 0, 1], [True, 0, 2], [True, 1, 0], [True, 1, 1], [True, 4, 2], [True, 5, 0], [True, 5, 1], [True, 7, 2]]"
P589Fg006_0_P597Fg042_1,P589Fg006_P597Fg042,8,5,8,"[[True, 2, 1], [True, 3, 0], [True, 4, 0], [True, 4, 1], [True, 5, 0], [True, 5, 1]]"
P590Fg015_0_P593Fg015_1,P590Fg015_P593Fg015,18,7,8,"[[True, 0, 2], [True, 0, 3], [True, 1, 2], [True, 1, 3], [True, 2, 2], [True, 3, 2], [True, 3, 3]]"
P590Fg030_0_P598Fg035_1,P590Fg030_P598Fg035,12,6,8,"[[True, 0, 1], [True, 1, 1], [True, 1, 2], [True, 2, 1], [True, 2, 2], [True, 3, 2]]"
P590Fg035_0_P597Fg020_1,P590Fg035_P597Fg020,6,6,8,"[[True, 1, 0], [True, 2, 0], [True, 2, 1], [True, 3, 0], [True, 3, 1], [True, 4, 1]]"
P593Fg001_0_P593Fg006_1,P593Fg001_P593Fg006,8,6,8,"[[True, 0, 1], [True, 1, 0], [True, 2, 1], [True, 3, 0], [True, 5, 1], [True, 6, 1], [True, 7, 1], [True, 10, 0]]"
P593Fg001_1_P593Fg015_0,P593Fg001_P593Fg015,47,12,8,"[[True, 0, 0], [True, 0, 1], [True, 1, 0], [True, 1, 1], [True, 2, 1], [True, 3, 0], [True, 3, 1], [True, 4, 2], [True, 5, 0], [True, 5, 1], [True, 6, 0], [True, 6, 1]]"
P593Fg001_0_P598Fg001_1,P593Fg001_P598Fg001,18,11,8,"[[True, 0, 2], [True, 0, 5], [True, 1, 1], [True, 2, 1], [True, 5, 1], [True, 5, 2], [True, 6, 1], [True, 7, 1], [True, 7, 2], [True, 8, 2], [True, 8, 5], [True, 9, 5]]"
P596Fg001_1_P598Fg010_0,P596Fg001_P598Fg010,8,7,8,"[[True, 0, 0], [True, 0, 1], [True, 1, 1], [True, 2, 0], [True, 2, 1], [True, 3, 0], [True, 3, 1]]"
P598Fg007_0_P598Fg036_1,P598Fg007_P598Fg036,9,6,8,"[[True, 0, 0], [True, 1, 1], [True, 2, 0], [True, 3, 1], [True, 4, 1], [True, 5, 1]]"
P589Fg003_1_P593Fg018_0,P589Fg003_P593Fg018,9,5,7,"[[True, 2, 1], [True, 2, 2], [True, 3, 1], [True, 3, 2], [True, 4, 1], [True, 4, 2]]"
P589Fg004_0_P590Fg029_1,P589Fg004_P590Fg029,7,6,7,"[[True, 0, 0], [True, 1, 0], [True, 2, 0], [True, 2, 1], [True, 3, 0], [True, 3, 1]]"
P589Fg004_0_P597Fg007_1,P589Fg004_P597Fg007,7,6,7,"[[True, 0, 0], [True, 1, 0], [True, 2, 0], [True, 2, 1], [True, 3, 0], [True, 3, 1]]"
P589Fg006_1_P598Fg010_0,P589Fg006_P598Fg010,19,7,7,"[[True, 0, 1], [True, 1, 2], [True, 2, 0], [True, 4, 0], [True, 4, 1], [True, 5, 1], [True, 6, 0], [True, 7, 1]]"
P590Fg008_1_P596Fg034_0,P590Fg008_P596Fg034,9,6,7,"[[True, 1, 0], [True, 1, 1], [True, 2, 0], [True, 2, 1], [True, 3, 0], [True, 3, 1]]"
P590Fg008_1_P597Fg004_0,P590Fg008_P597Fg004,6,6,7,"[[True, 1, 2], [True, 1, 3], [True, 2, 2], [True, 2, 3], [True, 3, 2], [True, 3, 3]]"
P590Fg015_0_P590Fg028_1,P590Fg015_P590Fg028,16,6,7,"[[True, 0, 4], [True, 1, 4], [True, 2, 4], [True, 2, 5], [True, 3, 4], [True, 3, 5]]"
P590Fg023_1_P590Fg030_0,P590Fg023_P590Fg030,13,6,7,"[[True, 0, 4], [True, 1, 0], [True, 1, 1], [True, 1, 2], [True, 1, 3], [True, 2, 1]]"
P590Fg026_1_P597Fg071_0,P590Fg026_P597Fg071,6,5,7,"[[True, 2, 0], [True, 2, 1], [True, 3, 0], [True, 3, 1], [True, 4, 0], [True, 4, 1]]"
P590Fg028_0_P590Fg031_1,P590Fg028_P590Fg031,21,5,7,"[[True, 1, 2], [True, 2, 1], [True, 3, 0], [True, 4, 1], [True, 5, 1]]"
P590Fg028_0_P596Fg081_1,P590Fg028_P596Fg081,13,6,7,"[[True, 1, 2], [True, 2, 0], [True, 2, 1], [True, 4, 0], [True, 4, 1], [True, 5, 0], [True, 5, 1]]"
P590Fg030_0_P596Fg081_1,P590Fg030_P596Fg081,13,7,7,"[[True, 0, 0], [True, 0, 1], [True, 1, 0], [True, 1, 1], [True, 2, 0], [True, 2, 1], [True, 3, 2], [True, 5, 2]]"
