fragmanetAndSide,fragment,class,fragmentVote,fragmentAndSideVote,fragmentAndSideTrendVote,fragmentAndSideTrendVoteStrict,fragmentAndSideTrendVoteSync,fragmentAndSideTrend,fragmentAndSideCubes,origCoordinates
PX303Fg006_6X4_2X1_1_PX303Fg006_6X4_3X1_0,PX303Fg006_6X4_2X1_PX303Fg006_6X4_3X1,1,25,17,17,0,0,"[[False, 1, 1], [False, 1, 1], [False, 1, 1], [False, 1, 2], [False, 2, 2], [False, 2, 2], [False, 2, 2], [False, 2, 2], [False, 2, 2], [False, 2, 2], [False, 2, 2], [False, 2, 2], [False, 2, 2], [False, 2, 3], [False, 3, 3], [False, 3, 3], [False, 3, 3]]","[[1079, 400, 50, 400], [1079, 400, 50, 450], [1079, 450, 50, 450], [1079, 450, 50, 500], [1079, 500, 50, 500], [1079, 500, 50, 550], [1079, 550, 50, 550], [1079, 550, 50, 600], [1079, 600, 50, 600], [1079, 600, 50, 650], [1079, 650, 50, 650], [1079, 650, 50, 700], [1079, 700, 50, 700], [1079, 700, 50, 750], [1079, 750, 50, 750], [1079, 750, 50, 800], [1079, 800, 50, 800]]",[]
PX303Fg006_5X4_3X0_0_PX303Fg006_5X4_4X2_1,PX303Fg006_5X4_3X0_PX303Fg006_5X4_4X2,0,16,4,4,6,3,"[[False, 0, 0], [False, 0, 1], [False, 1, 0], [False, 1, 1]]","[[50, 250, 868, 250], [50, 250, 868, 0], [50, 0, 868, 250], [50, 0, 868, 0]]",[]
PX303Fg006_6X4_0X1_1_PX303Fg006_6X4_2X1_0,PX303Fg006_6X4_0X1_PX303Fg006_6X4_2X1,0,8,4,4,0,0,"[[False, 0, 0], [False, 0, 1], [False, 1, 0], [False, 1, 1]]","[[528, 250, 50, 250], [528, 250, 50, 0], [528, 0, 50, 250], [528, 0, 50, 0]]",[]
PX303Fg006_4X4_1X3_1_PX303Fg006_4X4_2X1_0,PX303Fg006_4X4_1X3_PX303Fg006_4X4_2X1,0,16,4,4,0,0,"[[False, 0, 0], [False, 0, 1], [False, 1, 0], [False, 1, 1]]","[[1225, 250, 50, 250], [1225, 250, 50, 0], [1225, 0, 50, 250], [1225, 0, 50, 0]]",[]
PX303Fg006_6X3_2X1_0_PX303Fg006_6X3_4X1_0,PX303Fg006_6X3_2X1_PX303Fg006_6X3_4X1,0,4,4,4,6,3,"[[False, 0, 0], [False, 0, 1], [False, 1, 0], [False, 1, 1]]","[[50, 250, 50, 250], [50, 250, 50, 0], [50, 0, 50, 250], [50, 0, 50, 0]]",[]
PX303Fg006_6X4_2X1_0_PX303Fg006_6X4_5X3_1,PX303Fg006_6X4_2X1_PX303Fg006_6X4_5X3,0,8,4,4,6,3,"[[False, 0, 0], [False, 0, 1], [False, 1, 0], [False, 1, 1]]","[[50, 250, 898, 250], [50, 250, 898, 0], [50, 0, 898, 250], [50, 0, 898, 0]]",[]
PX303Fg006_6X3_0X2_1_PX303Fg006_6X3_3X0_1,PX303Fg006_6X3_0X2_PX303Fg006_6X3_3X0,0,9,2,2,0,0,"[[False, 1, 0], [False, 1, 1]]","[[727, 250, 942, 250], [727, 250, 942, 0]]",[]
PX303Fg006_4X3_0X0_0_PX303Fg006_4X3_3X1_1,PX303Fg006_4X3_0X0_PX303Fg006_4X3_3X1,0,9,2,2,2,1,"[[False, 1, 0], [False, 1, 1]]","[[50, 250, 1517, 250], [50, 250, 1517, 0]]",[]
PX303Fg006_6X4_4X0_1_PX303Fg006_6X4_5X1_1,PX303Fg006_6X4_4X0_PX303Fg006_6X4_5X1,0,8,4,4,0,0,"[[False, 0, 0], [False, 0, 1], [False, 1, 0], [False, 1, 1]]","[[781, 250, 939, 0], [781, 250, 939, 250], [781, 0, 939, 0], [781, 0, 939, 250]]",[]
PX303Fg006_6X4_2X0_1_PX303Fg006_6X4_4X1_0,PX303Fg006_6X4_2X0_PX303Fg006_6X4_4X1,0,6,2,2,0,0,"[[False, 0, 1], [False, 1, 1]]","[[931, 0, 50, 250], [931, 250, 50, 250]]",[]
PX303Fg006_6X4_2X1_0_PX303Fg006_6X4_5X3_0,PX303Fg006_6X4_2X1_PX303Fg006_6X4_5X3,0,8,4,4,6,3,"[[False, 0, 0], [False, 0, 1], [False, 1, 0], [False, 1, 1]]","[[50, 250, 50, 250], [50, 250, 50, 0], [50, 0, 50, 250], [50, 0, 50, 0]]",[]
PX303Fg006_6X4_1X0_0_PX303Fg006_6X4_2X3_1,PX303Fg006_6X4_1X0_PX303Fg006_6X4_2X3,0,12,4,4,6,3,"[[False, 0, 0], [False, 0, 1], [False, 1, 0], [False, 1, 1]]","[[50, 250, 1105, 250], [50, 250, 1105, 0], [50, 0, 1105, 250], [50, 0, 1105, 0]]",[]
PX303Fg006_5X4_0X0_1_PX303Fg006_5X4_2X3_1,PX303Fg006_5X4_0X0_PX303Fg006_5X4_2X3,0,12,4,4,0,0,"[[False, 0, 0], [False, 0, 1], [False, 1, 0], [False, 1, 1]]","[[891, 250, 1584, 250], [891, 250, 1584, 0], [891, 0, 1584, 250], [891, 0, 1584, 0]]",[]
PX303Fg006_5X4_1X1_0_PX303Fg006_5X4_2X3_1,PX303Fg006_5X4_1X1_PX303Fg006_5X4_2X3,0,8,2,2,2,1,"[[False, 1, 0], [False, 1, 1]]","[[50, 250, 1584, 250], [50, 250, 1584, 0]]",[]
PX303Fg006_6X3_0X1_1_PX303Fg006_6X3_3X1_0,PX303Fg006_6X3_0X1_PX303Fg006_6X3_3X1,0,9,2,2,0,0,"[[False, 0, 0], [False, 1, 0]]","[[770, 250, 50, 0], [770, 0, 50, 0]]",[]
PX303Fg006_5X4_0X1_1_PX303Fg006_5X4_1X3_0,PX303Fg006_5X4_0X1_PX303Fg006_5X4_1X3,0,16,4,4,0,0,"[[False, 0, 0], [False, 0, 1], [False, 1, 0], [False, 1, 1]]","[[916, 250, 50, 250], [916, 250, 50, 0], [916, 0, 50, 250], [916, 0, 50, 0]]",[]
PX303Fg006_6X4_2X3_1_PX303Fg006_6X4_3X0_1,PX303Fg006_6X4_2X3_PX303Fg006_6X4_3X0,0,12,4,4,0,0,"[[False, 0, 0], [False, 0, 1], [False, 1, 0], [False, 1, 1]]","[[1105, 250, 907, 250], [1105, 250, 907, 0], [1105, 0, 907, 250], [1105, 0, 907, 0]]",[]
PX303Fg006_6X3_0X1_1_PX303Fg006_6X3_5X0_1,PX303Fg006_6X3_0X1_PX303Fg006_6X3_5X0,0,12,4,4,0,0,"[[False, 0, 0], [False, 0, 1], [False, 1, 0], [False, 1, 1]]","[[770, 250, 667, 0], [770, 250, 667, 250], [770, 0, 667, 0], [770, 0, 667, 250]]",[]
PX303Fg006_6X3_0X1_0_PX303Fg006_6X3_1X0_1,PX303Fg006_6X3_0X1_PX303Fg006_6X3_1X0,0,9,2,2,2,1,"[[False, 0, 0], [False, 0, 1]]","[[50, 0, 844, 250], [50, 0, 844, 0]]",[]
PX303Fg006_5X3_0X1_0_PX303Fg006_5X3_4X2_1,PX303Fg006_5X3_0X1_PX303Fg006_5X3_4X2,0,12,2,2,2,1,"[[False, 0, 0], [False, 0, 1]]","[[50, 0, 870, 0], [50, 0, 870, 250]]",[]
PX303Fg006_6X4_0X0_0_PX303Fg006_6X4_2X3_1,PX303Fg006_6X4_0X0_PX303Fg006_6X4_2X3,0,9,2,2,2,1,"[[False, 1, 0], [False, 1, 1]]","[[50, 250, 1105, 250], [50, 250, 1105, 0]]",[]
PX303Fg006_4X4_0X0_1_PX303Fg006_4X4_1X0_1,PX303Fg006_4X4_0X0_PX303Fg006_4X4_1X0,0,24,4,4,0,0,"[[False, 0, 0], [False, 0, 1], [False, 1, 0], [False, 1, 1]]","[[1229, 250, 1330, 250], [1229, 250, 1330, 0], [1229, 0, 1330, 250], [1229, 0, 1330, 0]]",[]
PX303Fg006_5X3_0X2_0_PX303Fg006_5X3_4X1_0,PX303Fg006_5X3_0X2_PX303Fg006_5X3_4X1,0,16,4,4,6,3,"[[False, 0, 0], [False, 0, 1], [False, 1, 0], [False, 1, 1]]","[[50, 250, 50, 250], [50, 250, 50, 0], [50, 0, 50, 250], [50, 0, 50, 0]]",[]
