File,Model,Gap,Slice_size,Count,Precision,Recall,F-score,True Count,Error Rate,
PX303/FG006/PX303-Fg006-V-C01-R01-D08032015-T120541-ML728__009.jpg,/Users/il239838/Development/models/ML728__009_250px_model400x50.ckpt,80,250,5000,0.448927377,0.793391304,0.57340372,2041,0.446,728
PX303/FG006/PX303-Fg006-V-C01-R01-D08032015-T120541-ML728__009.jpg,/Users/il239838/Development/models/ML728__009_250px_model400x50.ckpt,120,250,5000,0.463969285,0.819652174,0.592532059,2041,0.4216,728
PX303/FG006/PX303-Fg006-V-C01-R01-D08032015-T120548-ML772__010.jpg,/Users/il239838/Development/models/ML772__010_250px_model400x50.ckpt,0,250,7000,0.600829548,0.975104178,0.743522894,2570,0.224857143,772
PX303/FG006/PX303-Fg006-V-C01-R01-D08032015-T120548-ML772__010.jpg,/Users/il239838/Development/models/ML772__010_250px_model400x50.ckpt,5,250,5000,0.631364325,0.942434783,0.75615712,2041,0.2474,772
PX303/FG006/PX303-Fg006-V-C01-R01-D08032015-T120548-ML772__010.jpg,/Users/il239838/Development/models/ML772__010_250px_model400x50.ckpt,10,250,5000,0.62809112,0.896695652,0.738734866,2041,0.256,772
PX303/FG006/PX303-Fg006-V-C01-R01-D08032015-T120548-ML772__010.jpg,/Users/il239838/Development/models/ML772__010_250px_model400x50.ckpt,20,250,5000,0.640948781,0.855304348,0.732772108,2041,0.264,772
PX303/FG006/PX303-Fg006-V-C01-R01-D08032015-T120548-ML772__010.jpg,/Users/il239838/Development/models/ML772__010_250px_model400x50.ckpt,40,250,5000,0.553826851,0.767652174,0.643440233,2041,0.3258,772
PX303/FG006/PX303-Fg006-V-C01-R01-D08032015-T120548-ML772__010.jpg,/Users/il239838/Development/models/ML772__010_250px_model400x50.ckpt,80,250,5000,0.523327779,0.764695652,0.621396269,2041,0.3598,772
PX303/FG006/PX303-Fg006-V-C01-R01-D08032015-T120548-ML772__010.jpg,/Users/il239838/Development/models/ML772__010_250px_model400x50.ckpt,120,250,5000,0.514938489,0.764347826,0.615330767,2041,0.3698,772
PX303/FG006/PX303-Fg006-V-C01-R01-D08032015-T120553-ML858__011.jpg,/Users/il239838/Development/models/ML858__011_250px_model400x50.ckpt,0,250,7000,0.77311069,0.959717919,0.856366497,2570,0.115857143,858
PX303/FG006/PX303-Fg006-V-C01-R01-D08032015-T120553-ML858__011.jpg,/Users/il239838/Development/models/ML858__011_250px_model400x50.ckpt,5,250,5000,0.743151739,0.839826087,0.788536904,2041,0.1916,858
PX303/FG006/PX303-Fg006-V-C01-R01-D08032015-T120553-ML858__011.jpg,/Users/il239838/Development/models/ML858__011_250px_model400x50.ckpt,10,250,5000,0.74926762,0.756173913,0.752704925,2041,0.2112,858
PX303/FG006/PX303-Fg006-V-C01-R01-D08032015-T120553-ML858__011.jpg,/Users/il239838/Development/models/ML858__011_250px_model400x50.ckpt,20,250,5000,0.713463997,0.582434783,0.641325163,2041,0.2728,858
PX303/FG006/PX303-Fg006-V-C01-R01-D08032015-T120553-ML858__011.jpg,/Users/il239838/Development/models/ML858__011_250px_model400x50.ckpt,40,250,5000,0.670503316,0.59773913,0.632033836,2041,0.2728,858
PX303/FG006/PX303-Fg006-V-C01-R01-D08032015-T120553-ML858__011.jpg,/Users/il239838/Development/models/ML858__011_250px_model400x50.ckpt,80,250,5000,0.618229361,0.575652174,0.596181556,2041,0.3088,858
PX303/FG006/PX303-Fg006-V-C01-R01-D08032015-T120553-ML858__011.jpg,/Users/il239838/Development/models/ML858__011_250px_model400x50.ckpt,120,250,5000,0.59063745,0.515652174,0.550603528,2041,0.3364,858
PX303/FG006/PX303-Fg006-V-C01-R01-D08032015-T120605-ML924__012.jpg,/Users/il239838/Development/models/ML924__012_250px_model400x50.ckpt,0,250,7000,0.859502526,0.945186452,0.900310417,2570,0.071428571,924
PX303/FG006/PX303-Fg006-V-C01-R01-D08032015-T120605-ML924__012.jpg,/Users/il239838/Development/models/ML924__012_250px_model400x50.ckpt,5,250,5000,0.842377261,0.79373913,0.817335244,2041,0.1522,924
PX303/FG006/PX303-Fg006-V-C01-R01-D08032015-T120605-ML924__012.jpg,/Users/il239838/Development/models/ML924__012_250px_model400x50.ckpt,10,250,5000,0.825095867,0.673565217,0.741669858,2041,0.1974,924
PX303/FG006/PX303-Fg006-V-C01-R01-D08032015-T120605-ML924__012.jpg,/Users/il239838/Development/models/ML924__012_250px_model400x50.ckpt,20,250,5000,0.82278481,0.542608696,0.653950954,2041,0.2428,924
PX303/FG006/PX303-Fg006-V-C01-R01-D08032015-T120605-ML924__012.jpg,/Users/il239838/Development/models/ML924__012_250px_model400x50.ckpt,40,250,5000,0.755587088,0.370434783,0.497140857,2041,0.2966,924
PX303/FG006/PX303-Fg006-V-C01-R01-D08032015-T120605-ML924__012.jpg,/Users/il239838/Development/models/ML924__012_250px_model400x50.ckpt,80,250,5000,0.67446874,0.380869565,0.486828943,2041,0.3208,924
PX303/FG006/PX303-Fg006-V-C01-R01-D08032015-T120605-ML924__012.jpg,/Users/il239838/Development/models/ML924__012_250px_model400x50.ckpt,120,250,5000,0.677232447,0.345565217,0.457623215,2041,0.3308,924
PX303/FG006/PX303-Fg006-V-C01-R01-D08032015-T120502-ML445__001.jpg,/Users/il239838/Development/models/ML445__001_125px_model400x50.ckpt,0,125,7000,0.893913956,0.944770988,0.918639133,2352,0.062857143,445
PX303/FG006/PX303-Fg006-V-C01-R01-D08032015-T120502-ML445__001.jpg,/Users/il239838/Development/models/ML445__001_125px_model400x50.ckpt,5,125,5000,0.85085639,0.57180804,0.683965262,1940,0.2076,445
PX303/FG006/PX303-Fg006-V-C01-R01-D08032015-T120502-ML445__001.jpg,/Users/il239838/Development/models/ML445__001_125px_model400x50.ckpt,10,125,5000,0.84288425,0.39330618,0.536343878,1940,0.2728,445
PX303/FG006/PX303-Fg006-V-C01-R01-D08032015-T120502-ML445__001.jpg,/Users/il239838/Development/models/ML445__001_125px_model400x50.ckpt,20,125,5000,0.757602085,0.30883655,0.438797333,1940,0.3106,445
PX303/FG006/PX303-Fg006-V-C01-R01-D08032015-T120502-ML445__001.jpg,/Users/il239838/Development/models/ML445__001_125px_model400x50.ckpt,40,125,5000,0.761383285,0.23392952,0.357897589,1940,0.3248,445
PX303/FG006/PX303-Fg006-V-C01-R01-D08032015-T120502-ML445__001.jpg,/Users/il239838/Development/models/ML445__001_125px_model400x50.ckpt,80,125,5000,0.545236669,0.161147512,0.24876982,1940,0.3746,445
PX303/FG006/PX303-Fg006-V-C01-R01-D08032015-T120502-ML445__001.jpg,/Users/il239838/Development/models/ML445__001_125px_model400x50.ckpt,120,125,5000,0.688644689,0.133168054,0.223178513,1940,0.36,445
PX303/FG006/PX303-Fg006-V-C01-R01-D08032015-T120506-ML475__002.jpg,/Users/il239838/Development/models/ML475__002_125px_model400x50.ckpt,0,125,7000,0.631784321,0.987579017,0.770595362,2352,0.189571429,475
PX303/FG006/PX303-Fg006-V-C01-R01-D08032015-T120506-ML475__002.jpg,/Users/il239838/Development/models/ML475__002_125px_model400x50.ckpt,5,125,5000,0.645608019,0.866831946,0.740040819,1940,0.2544,475
PX303/FG006/PX303-Fg006-V-C01-R01-D08032015-T120506-ML475__002.jpg,/Users/il239838/Development/models/ML475__002_125px_model400x50.ckpt,10,125,5000,0.614047097,0.794227023,0.692610609,1940,0.2928,475
PX303/FG006/PX303-Fg006-V-C01-R01-D08032015-T120506-ML475__002.jpg,/Users/il239838/Development/models/ML475__002_125px_model400x50.ckpt,20,125,5000,0.574846626,0.663715247,0.61609271,1940,0.3318,475
PX303/FG006/PX303-Fg006-V-C01-R01-D08032015-T120506-ML475__002.jpg,/Users/il239838/Development/models/ML475__002_125px_model400x50.ckpt,40,125,5000,0.495549417,0.57180804,0.530954534,1940,0.3974,475
PX303/FG006/PX303-Fg006-V-C01-R01-D08032015-T120506-ML475__002.jpg,/Users/il239838/Development/models/ML475__002_125px_model400x50.ckpt,80,125,5000,0.449158138,0.481848769,0.464929517,1940,0.4286,475
PX303/FG006/PX303-Fg006-V-C01-R01-D08032015-T120506-ML475__002.jpg,/Users/il239838/Development/models/ML475__002_125px_model400x50.ckpt,120,125,5000,0.429128333,0.48733841,0.456384743,1940,0.4436,475
PX303/FG006/PX303-Fg006-V-C01-R01-D08032015-T120510-ML499__003.jpg,/Users/il239838/Development/models/ML499__003_125px_model400x50.ckpt,0,125,7000,0.65563829,0.92076326,0.765905932,2482,0.181142857,499
PX303/FG006/PX303-Fg006-V-C01-R01-D08032015-T120510-ML499__003.jpg,/Users/il239838/Development/models/ML499__003_125px_model400x50.ckpt,5,125,5000,0.663974398,0.757343994,0.707592367,2037,0.2468,499
PX303/FG006/PX303-Fg006-V-C01-R01-D08032015-T120510-ML499__003.jpg,/Users/il239838/Development/models/ML499__003_125px_model400x50.ckpt,10,125,5000,0.674644468,0.676168955,0.675405851,2037,0.2644,499
PX303/FG006/PX303-Fg006-V-C01-R01-D08032015-T120510-ML499__003.jpg,/Users/il239838/Development/models/ML499__003_125px_model400x50.ckpt,20,125,5000,0.622226297,0.589779246,0.605568445,2037,0.3284,499
PX303/FG006/PX303-Fg006-V-C01-R01-D08032015-T120510-ML499__003.jpg,/Users/il239838/Development/models/ML499__003_125px_model400x50.ckpt,40,125,5000,0.560580366,0.517121502,0.537974684,2037,0.3544,499
PX303/FG006/PX303-Fg006-V-C01-R01-D08032015-T120510-ML499__003.jpg,/Users/il239838/Development/models/ML499__003_125px_model400x50.ckpt,80,125,5000,0.459973379,0.420476273,0.439338903,2037,0.4232,499
PX303/FG006/PX303-Fg006-V-C01-R01-D08032015-T120510-ML499__003.jpg,/Users/il239838/Development/models/ML499__003_125px_model400x50.ckpt,120,125,5000,0.496184662,0.452111942,0.473124147,2037,0.3806,499
PX303/FG006/PX303-Fg006-V-C01-R01-D08032015-T120515-ML540__004.jpg,/Users/il239838/Development/models/ML540__004_125px_model400x50.ckpt,0,125,7000,0.575871583,0.990081932,0.728195369,2482,0.253428571,540
PX303/FG006/PX303-Fg006-V-C01-R01-D08032015-T120515-ML540__004.jpg,/Users/il239838/Development/models/ML540__004_125px_model400x50.ckpt,5,125,5000,0.546345995,0.920041717,0.685577359,2037,0.3284,540
PX303/FG006/PX303-Fg006-V-C01-R01-D08032015-T120515-ML540__004.jpg,/Users/il239838/Development/models/ML540__004_125px_model400x50.ckpt,10,125,5000,0.582533476,0.85451069,0.692784667,2037,0.3104,540
PX303/FG006/PX303-Fg006-V-C01-R01-D08032015-T120515-ML540__004.jpg,/Users/il239838/Development/models/ML540__004_125px_model400x50.ckpt,20,125,5000,0.583947474,0.757517817,0.659503632,2037,0.3454,540
PX303/FG006/PX303-Fg006-V-C01-R01-D08032015-T120515-ML540__004.jpg,/Users/il239838/Development/models/ML540__004_125px_model400x50.ckpt,40,125,5000,0.532190579,0.68538154,0.599149065,2037,0.3674,540
PX303/FG006/PX303-Fg006-V-C01-R01-D08032015-T120515-ML540__004.jpg,/Users/il239838/Development/models/ML540__004_125px_model400x50.ckpt,80,125,5000,0.462854636,0.550147749,0.502740052,2037,0.4344,540
PX303/FG006/PX303-Fg006-V-C01-R01-D08032015-T120515-ML540__004.jpg,/Users/il239838/Development/models/ML540__004_125px_model400x50.ckpt,120,125,5000,0.481648337,0.631844255,0.546616541,2037,0.4204,540
PX303/FG006/PX303-Fg006-V-C01-R01-D08032015-T120519-ML595__005.jpg,/Users/il239838/Development/models/ML595__005_125px_model400x50.ckpt,0,125,7000,0.772523271,0.993161663,0.86905708,2570,0.099428571,595
PX303/FG006/PX303-Fg006-V-C01-R01-D08032015-T120519-ML595__005.jpg,/Users/il239838/Development/models/ML595__005_125px_model400x50.ckpt,5,125,5000,0.765289004,0.872695652,0.81547087,2041,0.1814,595
PX303/FG006/PX303-Fg006-V-C01-R01-D08032015-T120519-ML595__005.jpg,/Users/il239838/Development/models/ML595__005_125px_model400x50.ckpt,10,125,5000,0.752849003,0.735304348,0.743973254,2041,0.2224,595
